,unique_add,Lon,Lat
92,510 BT BATOK ST 52,103.847197777949,1.31181999992702
93,128 BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
94,107 BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
95,112 BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
96,102 BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
97,443D BT BATOK WEST AVE 8,103.849087514554,1.30606411508932
98,296A BT BATOK ST 22,103.834439535286,1.29644995684098
99,296B BT BATOK ST 22,103.834439535286,1.29644995684098
100,628 BT BATOK CTRL,103.845880417376,1.31568172551155
101,127C KIM TIAN RD,103.830277614211,1.43769199919618
102,45 TELOK BLANGAH DR,103.849087514554,1.30606411508932
103,129 BT MERAH VIEW,103.830277614211,1.43769199919618
104,54 HAVELOCK RD,103.847197777949,1.31181999992702
